id,name,year,movie_rated,run_length,genres,release_date,rating,num_raters,num_reviews,review_url
tt0332280,The Notebook,2004,PG-13,2h 3min,Romance; ,25 June 2004 (USA),7.8,503964,1255,https://www.imdb.com/title/tt0332280/reviews/_ajax?ref_=undefined&paginationKey=
tt1343092,The Great Gatsby,2013,PG-13,2h 23min,Romance; ,10 May 2013 (USA),7.2,462941,902,https://www.imdb.com/title/tt1343092/reviews/_ajax?ref_=undefined&paginationKey=
tt1022603,500 Days of Summer,2009,PG-13,1h 35min,Comedy; Romance; ,7 August 2009 (USA),7.7,461834,601,https://www.imdb.com/title/tt1022603/reviews/_ajax?ref_=undefined&paginationKey=
tt1570728,"Crazy, Stupid, Love",2011,PG-13,1h 58min,Comedy; Romance; ,29 July 2011 (USA),7.4,460023,370,https://www.imdb.com/title/tt1570728/reviews/_ajax?ref_=undefined&paginationKey=
tt1659337,The Perks of Being a Wallflower,2012,PG-13,1h 43min,Romance; ,12 October 2012 (USA),8.0,448222,618,https://www.imdb.com/title/tt1659337/reviews/_ajax?ref_=undefined&paginationKey=
tt0314331,Love Actually,2003,R,2h 15min,Comedy; Romance; ,14 November 2003 (USA),7.6,413896,1136,https://www.imdb.com/title/tt0314331/reviews/_ajax?ref_=undefined&paginationKey=
tt0362227,The Terminal,2004,PG-13,2h 8min,Comedy; Romance; ,18 June 2004 (USA),7.4,393039,702,https://www.imdb.com/title/tt0362227/reviews/_ajax?ref_=undefined&paginationKey=
tt2980516,The Theory of Everything,2014,PG-13,2h 3min,Romance; ,26 November 2014 (USA),7.7,387452,501,https://www.imdb.com/title/tt2980516/reviews/_ajax?ref_=undefined&paginationKey=
tt0405422,The 40-Year-Old Virgin,2005,R,1h 56min,Comedy; Romance; ,19 August 2005 (USA),7.1,384072,587,https://www.imdb.com/title/tt0405422/reviews/_ajax?ref_=undefined&paginationKey=
tt1282140,Easy A,2010,PG-13,1h 32min,Comedy; Romance; ,17 September 2010 (USA),7.0,348230,339,https://www.imdb.com/title/tt1282140/reviews/_ajax?ref_=undefined&paginationKey=
tt0478311,Knocked Up,2007,R,2h 9min,Comedy; Romance; ,1 June 2007 (USA),6.9,343791,584,https://www.imdb.com/title/tt0478311/reviews/_ajax?ref_=undefined&paginationKey=
tt1355644,Passengers,2016,PG-13,1h 56min,Romance; ,21 December 2016 (USA),7.0,337271,1173,https://www.imdb.com/title/tt1355644/reviews/_ajax?ref_=undefined&paginationKey=
tt2582846,The Fault in Our Stars,2014,PG-13,2h 6min,Romance; ,6 June 2014 (USA),7.7,334274,679,https://www.imdb.com/title/tt2582846/reviews/_ajax?ref_=undefined&paginationKey=
tt1632708,Friends with Benefits,2011,R,1h 49min,Comedy; Romance; ,22 July 2011 (USA),6.5,332366,238,https://www.imdb.com/title/tt1632708/reviews/_ajax?ref_=undefined&paginationKey=
tt1068680,Yes Man,2008,PG-13,1h 44min,Comedy; Romance; ,19 December 2008 (USA),6.8,327950,302,https://www.imdb.com/title/tt1068680/reviews/_ajax?ref_=undefined&paginationKey=
tt0396269,Wedding Crashers,2005,R,1h 59min,Comedy; Romance; ,15 July 2005 (USA),6.9,326314,667,https://www.imdb.com/title/tt0396269/reviews/_ajax?ref_=undefined&paginationKey=
tt0343660,50 First Dates,2004,PG-13,1h 39min,Comedy; Romance; ,13 February 2004 (USA),6.8,318838,505,https://www.imdb.com/title/tt0343660/reviews/_ajax?ref_=undefined&paginationKey=
tt0388795,Brokeback Mountain,2005,R,2h 14min,Romance; ,13 January 2006 (USA),7.7,315187,2337,https://www.imdb.com/title/tt0388795/reviews/_ajax?ref_=undefined&paginationKey=
tt1517451,A Star Is Born,2018,R,2h 16min,Romance; ,5 October 2018 (USA),7.7,313248,2667,https://www.imdb.com/title/tt1517451/reviews/_ajax?ref_=undefined&paginationKey=
tt1193138,Up in the Air,2009,R,1h 49min,Comedy; Romance; ,23 December 2009 (USA),7.4,312919,522,https://www.imdb.com/title/tt1193138/reviews/_ajax?ref_=undefined&paginationKey=
tt1306980,50_50,2011,R,1h 40min,Comedy; Romance; ,30 September 2011 (USA),7.6,310708,428,https://www.imdb.com/title/tt1306980/reviews/_ajax?ref_=undefined&paginationKey=
tt1748122,Moonrise Kingdom,2012,PG-13,1h 34min,Comedy; Romance; ,29 June 2012 (USA),7.8,309368,438,https://www.imdb.com/title/tt1748122/reviews/_ajax?ref_=undefined&paginationKey=
