,DR_NO,DATE OCC,TIME OCC,AREA,AREA NAME,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,LOCATION,LAT,LON
4261,200707636,2020-03-19,1000,7,Wilshire,626,INTIMATE PARTNER - SIMPLE ASSAULT,23,F,900 S  FAIRFAX                      AV,34.0601,-118.3629
4262,201608276,2020-04-17,2130,16,Foothill,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",43,M,9400    SAN FERNANDO                 RD,34.2401,-118.3946
4263,200611246,2020-06-03,1130,6,Hollywood,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",43,M,1300 N  MARTEL                       AV,34.0944,-118.3506
4264,200400937,2020-07-24,145,4,Hollenbeck,310,BURGLARY,53,M,1000 S  DACOTAH                      ST,34.0272,-118.2085
4265,201906572,2020-02-22,810,19,Mission,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),37,M,9900    SEPULVEDA                    BL,34.25,-118.4675
4266,201215262,2020-03-29,1200,12,77th Street,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",14,F,400 W  47TH                         ST,34.001,-118.2815
4267,201217988,2020-08-06,1610,12,77th Street,903,CONTEMPT OF COURT,28,F,100 W  84TH                         PL,33.9623,-118.2783
4268,202016045,2020-10-18,200,20,Olympic,510,VEHICLE - STOLEN,0,nan,1200 S  HOBART                       BL,34.0472,-118.3052
4269,201912237,2020-07-13,1700,19,Mission,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,nan,9300    SYLMAR                       AV,34.2402,-118.4469
4270,200809782,2020-05-14,1700,8,West LA,354,THEFT OF IDENTITY,39,M,200 N  BARRINGTON                   AV,34.0668,-118.4711
4271,201205175,2020-01-18,1030,12,77th Street,624,BATTERY - SIMPLE ASSAULT,45,M,WESTERN                      AV,33.9892,-118.3089
4272,202018835,2020-12-23,2000,20,Olympic,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,nan,300 S  ALEXANDRIA                   AV,34.0672,-118.2979
4273,201413062,2020-06-30,630,14,Pacific,310,BURGLARY,40,F,7100    LA TIJERA                    BL,33.9735,-118.3761
4274,201318074,2020-10-07,130,13,Newton,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,27,F,4900    HOOPER                       AV,33.9994,-118.2543
4275,202015432,2020-10-03,750,20,Olympic,624,BATTERY - SIMPLE ASSAULT,66,M,1300 W  WASHINGTON                   BL,34.0421,-118.2879
4276,200904811,2020-01-07,1200,9,Van Nuys,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,X,5000    WOODMAN                      AV,34.1613,-118.4312
4277,201113376,2020-09-04,1945,11,Northeast,624,BATTERY - SIMPLE ASSAULT,64,F,3200    HOLLYDALE                    DR,34.1112,-118.2583
4278,200706820,2020-02-28,2200,7,Wilshire,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,nan,6000    PICKFORD                     PL,34.0483,-118.3722
4279,200713383,2020-08-31,2200,7,Wilshire,624,BATTERY - SIMPLE ASSAULT,39,M,4700 S  RIMPAU                       BL,34.0412,-118.3434
4280,200413292,2020-09-29,630,4,Hollenbeck,510,VEHICLE - STOLEN,0,nan,AVENUE 26,34.0797,-118.2184
4281,201226899,2020-12-21,1955,12,77th Street,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",41,M,4700 S  VERMONT                      AV,33.9996,-118.2915
4282,201216622,2020-07-16,2015,12,77th Street,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",21,M,500 W  77TH                         ST,33.9698,-118.2833
4283,201511364,2020-06-16,230,15,N Hollywood,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",55,M,10900 W  VENTURA                      BL,34.143,-118.3727
4284,200616478,2020-10-08,1550,6,Hollywood,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,X,5500 W  HOLLYWOOD                    BL,34.1017,-118.31
4285,201407963,2020-03-09,1800,14,Pacific,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,40,M,4000    DEL REY                      AV,33.9908,-118.4472
4286,201904054,2020-01-01,1300,19,Mission,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),39,F,7800    VAN NUYS                     BL,34.2153,-118.4409
4287,200207334,2020-03-05,945,2,Rampart,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",26,F,600 S  RAMPART                      BL,34.0619,-118.2817
4288,200810736,2020-06-17,1100,8,West LA,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,X,1800 S  LA CIENEGA                   BL,34.0425,-118.3818
4289,200214450,2020-08-31,1900,2,Rampart,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",26,M,1900    SANTA YNEZ                   ST,34.0748,-118.2633
4290,200116611,2020-08-18,1019,1,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),29,M,500 N  FIGUEROA                     ST,34.0615,-118.247
4291,201916651,2020-11-07,1700,19,Mission,510,VEHICLE - STOLEN,0,nan,ASTORIA                      ST,34.3115,-118.4388
4292,200219162,2020-12-30,1800,2,Rampart,625,OTHER ASSAULT,51,M,500 S  WESTLAKE                     AV,34.0599,-118.2731
4293,200708152,2020-04-06,1100,7,Wilshire,310,BURGLARY,46,M,4000 W  JOHNNIE COCHRAN VISTA,34.0425,-118.3258
4294,200311548,2020-05-18,1805,3,Southwest,624,BATTERY - SIMPLE ASSAULT,21,F,2500    LA SALLE                     AV,34.0337,-118.3058
4295,201513595,2020-08-06,1710,15,N Hollywood,903,CONTEMPT OF COURT,34,F,HART,34.1976,-118.4225
4296,202011280,2020-06-22,1030,20,Olympic,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,X,900 S  WESTMORELAND                 AV,34.0559,-118.2891
4297,201005964,2020-02-14,1400,10,West Valley,626,INTIMATE PARTNER - SIMPLE ASSAULT,46,F,ENCINO,34.1633,-118.5142
4298,200908511,2020-04-16,146,9,Van Nuys,900,VIOLATION OF COURT ORDER,56,F,13900    COHASSET                     ST,34.2066,-118.439
4299,201111198,2020-07-05,2200,11,Northeast,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,nan,1800 N  BERENDO                      ST,34.1036,-118.2946
4300,201815662,2020-08-16,430,18,Southeast,121,"RAPE, FORCIBLE",61,F,WILMINGTON                   AV,33.9303,-118.2391
4301,200905138,2020-01-23,2315,9,Van Nuys,310,BURGLARY,21,F,6900    VAN NUYS                     BL,34.1961,-118.4487
4302,200113408,2020-06-13,1045,1,Central,625,OTHER ASSAULT,39,M,00    GATEWAY PLZ,34.0577,-118.2318
4303,201313221,2020-07-01,1054,13,Newton,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,X,900    CROCKER                      ST,34.0356,-118.2498
4304,201805386,2020-01-25,1600,18,Southeast,510,VEHICLE - STOLEN,0,nan,8800    ORCHARD                      AV,33.958,-118.2881
4305,202113058,2020-08-24,630,21,Topanga,626,INTIMATE PARTNER - SIMPLE ASSAULT,28,F,21200    KITTRIDGE                    ST,34.1913,-118.5942
4306,202018808,2020-12-25,2045,20,Olympic,901,VIOLATION OF RESTRAINING ORDER,52,M,200 S  KINGSLEY                     DR,34.069,-118.3029
4307,200619483,2020-12-20,1530,6,Hollywood,510,VEHICLE - STOLEN,0,nan,2000 N  HIGHLAND                     AV,34.1069,-118.3375
4308,200114122,2020-06-29,915,1,Central,330,BURGLARY FROM VEHICLE,23,M,1300    WILLOW                       ST,34.0392,-118.2328
4309,200814494,2020-08-09,1340,8,West LA,354,THEFT OF IDENTITY,49,M,200 S  ANITA                        AV,34.0549,-118.4828
4310,201310889,2020-05-15,825,13,Newton,761,BRANDISH WEAPON,43,F,1000 E  7TH                          ST,34.0385,-118.2437
4311,201804806,2020-01-15,2200,18,Southeast,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",36,M,8600    DENVER                       AV,33.9601,-118.2839
