,rotten_tomatoes_link,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
43,m/1000560-alamo,The Alamo,"In 1836, the Mexican army, led by General Santa Anna, is invading Texas. Hoping to create a diversion for Santa Anna's forces, General Sam Houston (Richard Boone) orders Colonel William B. Travis (Laurence Harvey), joined by Colonels Jim Bowie (Richard Widmark) and Davy Crockett (John Wayne), to lead a small, heroic band of American and Texican fighters in a resistance battle at the Alamo mission. The carnage at the Alamo further spurs the Republic of Texas toward freedom.","John Wayne proves to be less compelling behind the camera than he is before it in The Alamo, a blustery dramatization of the fort's last stand that feels more like a first draft.",NR,"Action & Adventure, Classics, Drama, Western",John Wayne,James Edward Grant,"John Wayne, Richard Widmark, Laurence Harvey, Richard Boone, Frankie Avalon, Patrick Wayne, Linda Cristal, Joan O'Brien, Chill Wills, Joseph Calleia, Ken Curtis, Carlos Arruza, Jester Hairston, Veda Ann Borg, John Dierkes, Denver Pyle, Aissa Wayne, Hank Worden, William Henry, Bill Daniel, Wesley Lau, Chuck Roberson, Guinn 'Big Boy' Williams, Olive Carey, Ruben Padilla, Jack Pennick, Carol Baxter, Fred Graham, Cy Malis, Boyd 'Red' Morgan, Gil Perkins, Chuck Hayward, Buff Brady, Bill Shannon, Ted White, Jim Burk, Mickey Finn, Dean Smith, George Ross, Big John Hamilton, Robert H. Harris, Jim Wright, Leroy Johnson, Jim Walker, Jack Miller, Danny Borzage, Tap Canutt, Jack Williams, Alfred Taylor, Ed Carter, Miguel Garza, Jerry Phillips, Charles Sanders, Charles Akins, Joe Jackson, Ronald Lee, Joe Graham, Rudy Robbins, Jim Brewer",1960-10-24,2016-11-30,192.0,Batjac Productions,Rotten,52.0,21.0,Upright,63.0,7337.0,4,11,10
44,m/10005755-g,G,"Summer G (Richard T. Jones), an aspiring rapper, finds himself enamored with a young woman named Sky Hightower (Chenoa Maxwell), an ambitious social climber who is wary of Summer's low-class status. Although she rejects him for Chip (Blair Underwood), who works in the lucrative world of finance, that only pushes Summer to work even harder to make himself a wealthy and important man -- someone Sky will love. However, he encounters problems from both the old money guard and from Sky herself.","Race and class struggles come to the Hamptons in this reworking of The Great Gatsby with a hip-hop flavor. Unfortunately, too many subplots and a lack of believable characters spoil an otherwise novel concept.",R,"Drama, Romance",Christopher Scott Cherot,"Charles E. Drew, Christopher Scott Cherot, Charles E. Drew Jr.","Richard T. Jones, Blair Underwood, Chenoa Maxwell, Andre Royo, Andrew Lauren, Laz Alonso, Lalanya Masters, Nicoye Banks, Laz Alonzo, Jillian Lindsey, Sonja Sohn, Marcia Wright, Damian Young, Alex Carr, Renet Kyles, Johnny Russo, Lisa Ferreira, Miko Tam, Brian d'Arcy James, Beth Dover, Linda Marie Larson, Michael Quinlan, Sarah Schoenberg, Tara Ashley, Christopher Michael Gerrard",2005-09-16,2018-04-10,96.0,Slow Hand Cinema,Rotten,24.0,29.0,Upright,60.0,1143.0,17,7,22
45,m/1000580-alexander_the_great,Alexander the Great,"The son of Philip of Macedonia (Fredric March) and Olympias (Danielle Darrieux), Alexander the Great (Richard Burton) is one of the most legendary leaders throughout history. As the Macedonian king, Alexander successfully unites all the ancient Greek tribes and leads them to defeat the imposing Persian Empire. With the fall of Babylon, Alexander continues to conquer most of the known world. Eventually, he achieves the status of unparalleled ruler atop his newly formed Greek empire.",,G,Classics,Robert Rossen,Robert Rossen,"Richard Burton, Fredric March, Claire Bloom, Danielle Darrieux, Harry Andrews, Stanley Baker, Niall MacGinnis, Peter Cushing, Michael Hordern, Barry Jones, Marisa de Leza, Gustavo Rojo, Rubén Rojo, William Squire, Helmut Dantine, Frederick Ledebur, Peter Wyngarde, Virgilio Texeira, Teresa Del Rio, Julio Peña, José Nieto, Carlos Martinez Baena, Larry Taylor, José Marco, Ricardo Valle, Carmen Carulla, Jesús Luque, Ramsay Ames, Mario De Barros, Ellen Rossen, Juan Carlos Acevedo, Virgilio Teixeira, Riccardo Valle",1956-03-28,2017-01-17,141.0,United Artists,Rotten,0.0,8.0,Spilled,42.0,5383.0,1,0,8
46,m/1000581-alfie,Alfie,"Set in postwar London, ""Alfie"" features Michael Caine as a chauffeur bent on promiscuity. After impregnating his girlfriend he takes off on vacation. He continues his life of womanizing, but he can't hide forever. A misfortune strikes and Alfie is forced to face the product of his ways.","Anchored by Michael Caine's charmingly droll performance, Alfie is an equally raucous and heart-rending portrait of romance in the Swinging '60s.",PG,"Classics, Comedy, Drama, Romance",Lewis Gilbert,Bill Naughton,"Michael Caine, Millicent Martin, Julia Foster, Shirley Ann Field, Vivien Merchant, Shelley Winters, Jane Asher, Eleanor Bron, Denholm Elliott, Alfie Bass, Graham Stark, Murray Melvin, Sydney Tafler, Julia Asher, Virginia Wetherell, Millicent Martin",1966-08-24,2013-08-01,114.0,Paramount Pictures,Fresh,96.0,27.0,Upright,76.0,14669.0,6,26,1
47,m/10005819-10005819-neverwas,Neverwas,"Dr. Zach Riley (Aaron Eckhart) begins practicing at the Millwood Psychiatric Clinic -- a mental health retreat where his deceased father, renowned children's book author T.L. Pierson (Nick Nolte), was once interned. Riley finds an unlikely friend in Gabriel Finch (Ian McKellen), a disarming patient who forces him to examine himself. When Finch suggests that the fantastic land in Pierson's classic book ""Neverwas"" is real, Riley begins a spellbinding investigation into his father's work.",,PG-13,"Drama, Mystery & Suspense",Joshua Michael Stern,Joshua Michael Stern,"Aaron Eckhart, Ian McKellen, Brittany Murphy, William Hurt, Nick Nolte, Alan Cumming, Jessica Lange, Bill Bellamy, Vera Farmiga, Michael Moriarty, Cynthia Stevenson, Ryan Drescher, Suzanne Bastien, Lorena Gale, Tim Henry, Camille Sullivan, Mark Tisdale",2005-09-09,2016-04-19,102.0,Senator Film,Rotten,14.0,7.0,Upright,65.0,4059.0,1,1,6
48,m/10006007-the_second_chance,The Second Chance,"Two pastors, one from a wealthy parish in a predominantly white suburb, the other, the head of an inner-city church, must learn to bridge the gap between their different philosophies and their individual prejudices. Together they look for common ground through faith and fight to save one's struggling urban church and the people it serves.",,PG-13,"Drama, Faith & Spirituality",Steve Taylor,"Steve Taylor, Chip Arnold, Ben Pearson, Henry O. Arnold","Michael W. Smith, Jeff Obafemi Carr, Jonathan Thomas, J. Don Ferguson, Lisa Arrindell, David Alford, Henry Haggard, Jonathan Taylor Thomas, Kenda Benward, Calvin Hobson, Bobby Daniels, Shirley Cody, Peggy Walton-Walker, Villa Steele, Vilia Steele, Kobie Jarmon, Erin Hemphill, Yuri Cunza, Vincent Ndikumana, Rico Moody, Robert Fitzgerald, JD Parker, Helen Shute-Pettaway, Todd Matt Chiorini, Henry O. Arnold, Big Fella, Dale Thompson",2006-02-17,2006-07-18,104.0,Sony Pictures,Rotten,44.0,16.0,Upright,78.0,79542.0,8,7,9
49,m/10006057-moonlight,Moonlight,"Claire, a Dutch girl, discovers a wounded boy hiding in the garden shed behind her adoptive parents' luxurious home. The boy is a narcotics courier from Afghanistan, who was left for dead after being shot by drug dealers once his services were no longer needed. Claire nurses the boy back to health and develops deep feelings for him as their relationship grows. The drug dealers discover the boy is still alive, prompting Claire to leave her family and run away with the boy she now loves.",,R,"Drama, Mystery & Suspense",Paula Van der Oest,Carel Donck,"Laurien Van Den Broeck, Hunter Bussemaker, Johan Leysen, Jemma Redgrave, Andrew Howard, David Bustard, Elvir Sabanovic",2003-10-17,2020-03-13,90.0,Indican Pictures,Fresh,60.0,10.0,Upright,67.0,1430.0,6,6,4
50,m/1000617-aliens,Aliens,"After floating in space for 57 years, Lt. Ripley's (Sigourney Weaver) shuttle is found by a deep space salvage team. Upon arriving at LV-426, the marines find only one survivor, a nine year old girl named Newt (Carrie Henn). But even these battle-hardened marines with all the latest weaponry are no match for the hundreds of aliens that have invaded the colony.","While Alien was a marvel of slow-building, atmospheric tension, Aliens packs a much more visceral punch, and features a typically strong performance from Sigourney Weaver.",R,"Action & Adventure, Horror, Science Fiction & Fantasy",James Cameron,James Cameron,"Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser, Bill Paxton, William Hope, Jenette Goldstein, Al Matthews, Mark Rolston, Ricco Ross, Colette Hiller, Daniel Kash, Cynthia Scott, Tip Tipping, Trevor Steedman, Paul Maxwell, Valerie Colgan, Alan Polonsky, Lance Henriksen, Alibe Parsons, Blain Fairman, Barbara Coles, Carl Toop, Louise Head, John Lees, Kiran Shah",1986-07-18,2015-11-25,137.0,20th Century Fox,Certified-Fresh,97.0,76.0,Upright,94.0,429674.0,17,74,2
51,m/10006188-rise,Rise: Blood Hunter,"Sadie (Lucy Liu), a reporter, investigates an underground cult in Los Angeles which seems to be responsible for a series of grisly murders. While trying to discover the cult's secrets, she becomes a victim herself. Sadie awakes in the morgue with an insatiable craving for blood and revenge, so she joins forces with a grieving detective (Michael Chiklis) to destroy the undead creatures once and for all.",,R,"Horror, Mystery & Suspense",Sebastian Gutierrez,Sebastian Gutierrez,"Lucy Liu, Michael Chiklis, Carla Gugino, James D'Arcy, Robert Forster, Cameron Richardson, Allan Rich, Robert Foster, Samantha Shelton, Kevin Wheatley, Margo Harshman, Cameron Goodman, Holt McCallany, Paul Cassell, Mako, Sam Cooper, Natsuko Ohama, Christina Stacy, Julio Oscar Mechoso, Simon Rex, Isabella Gutierrez, Liana Perez, Anastasia Baranova, Zach Gilford, Ashley Hinson, Fran Kranz, Samaire Armstrong, Marilyn Manson, Elden Henson, Nick Lachey, Christopher Allen Nelson, India King",2007-06-01,2016-11-01,97.0,IDP Distribution,Rotten,36.0,14.0,Spilled,20.0,8239.0,2,5,9
52,m/1000626-all_about_eve,All About Eve,"Backstage story revolving around aspiring actress Eve Harrington. Tattered and forlorn, Eve shows up in the dressing room of Broadway mega-star Margo Channing, telling a melancholy life story to Margo and her friends. Margo takes Eve under her wing, and it appears that Eve is a conniver that uses Margo.","Smart, sophisticated, and devastatingly funny, All About Eve is a Hollywood classic that only improves with age.",PG,"Classics, Drama",Joseph L. Mankiewicz,Joseph L. Mankiewicz,"Bette Davis, Anne Baxter, Gary Merrill, George Sanders, Celeste Holm, Hugh Marlowe, Thelma Ritter, Marilyn Monroe, Gregory Ratoff, Barbara Bates, Walter Hampden, Randy Stuart, Craig Hill, Leland Harris, Barbara White, Eddie Fisher, William Pullen, Claude Stroud, Eugene Borden, Helen Mowery, Steven Geray, Bess Flowers, Ed Fisher, Steve Geray",1950-01-01,2015-11-25,138.0,20th Century Fox,Certified-Fresh,99.0,77.0,Upright,94.0,45248.0,22,76,1
53,m/10006270,When Do We Eat?,"Members of the Stuckman family gather for Seder with patriarch Ira (Michael Lerner), an old-fashioned man who pushes his sons as hard as his own father (Jack Klugman) pushed him. Chaos erupts when one of Ira's sons slips him a hit of Ecstasy, turning him into a modern Moses.","A crass, sitcom-ish holiday comedy, When Do We Eat? presents all the over-the-top dysfunctional family hijinks one would expect from the genre.",R,Comedy,Salvador Litvak,"Salvador Litvak, Nina Davidovich","Michael Lerner, Lesley Ann Warren, Jack Klugman, Meredith Scott Lynn, Shiri Appleby, Mili Avital, Ben Feldman, Adam Lamberg, Max Greenfield, Cynda Williams, Mark Ivanir, Dan Bucatinsky, Oscar Nunez, Vickilyn Reynolds, Victoria Justice, Kane Ritchotte, Arman Manyan, Jeremy Glazer, Cantor Avshalom Katz, Cantor Chaim 'Erik' Goldberger, Yehuda Solomon, Lucca Fletcher, Tania Godfrey, Candace Zuchowski, Brandon Waters, Caleb Armstrong, Schlomo 'Schwartzie' Schwartz, Beth Ann Warren, Jeff D'Agostino, Joshua Weinstein",2006-04-07,2017-05-22,87.0,ThinkFilm,Rotten,42.0,38.0,Upright,68.0,1121.0,19,16,22
54,m/10006324,The Mostly Unfabulous Social Life of Ethan Green,"A young man named Ethan (Daniel Letterle) is head-over-heels in love with an ex-baseball player (Diego Serrano) who has just revealed in a new book that he is gay. Meanwhile, a former lover (David Monahan) plots to sell Ethan's house, prompting him to enlist the aid of a hot guy (Dean Shelton) and a real-estate agent (Rebecca Lowman) to prevent the sale from going through.","Ethan Green makes for an annoying protagonist, the jokes aren't funny, and everyone is as flat as the paper the comic is printed on.",R,"Comedy, Drama",George Bamber,David Vernon,"Daniel Letterle, Meredith Baxter, David Monahan, Diego Serrano, Dean Shelton, Shanola Hampton, Joel Brooks, Richard Riehle, Scott Atkinson, Rebecca Lowman, Ramon De Ocampo, Sean Faris, Mariah Bess, Boti Ann Bliss, Chase Ellison, Gage Vernon, Heather Ogden, Lenora May, Tod Abrams, Micah McCain, Paul J. Coyne, Audrey Capotosta, Russell Martin, Phil de Carlo, Wendy H. Meier, Skyler Hynes, Elsa Raven",2006-06-16,2017-02-02,88.0,Regent Releasing,Rotten,30.0,27.0,Spilled,58.0,2394.0,13,8,19
55,m/10006343-dirty,Dirty,"Armando Sancho (Clifton Collins Jr.) is a former Los Angeles gang member who has transitioned into law enforcement. Sancho, however, who is surrounded by corruption, finds that life as a police officer is just as morally bankrupt as life as a gangster. After being implicated in the shooting of an innocent man himself, Sancho is then pressured to testify against his loose-cannon friend and partner, Salim Adel (Cuba Gooding Jr.), who has a history of abusing citizens.",Dirty is an unoriginal L.A. cop drama that wears its tired influences on its sleeves.,R,Drama,Chris Fisher,"Chris Fisher, Gil Reavill, Eric Saks","Cuba Gooding Jr., Wyclef Jean, Keith David, Clifton Collins Jr., Aimee Garcia, Wood Harris, Brittany Daniel, Cole Hauser, Robert LaSardo, Lobo Sebastian, Taboo, Khleo Thomas, Nicholas Gonzalez, Judy Reyes, Nate Parker, Chris Fisher, Frank Alvarez, Robert Flores, César García, Kevin Grevioux, Pat Healy, Tory Kittles, Jen Martinez, Gates McFadden, Joseph McKelheer, Edward Meza, Maurice Rae, Chris Mulkey, Jim Ortlieb, Marina Gonzalez Palmier, Tracy Phillips, Bret Roberts",2006-02-24,2012-04-16,97.0,SNP Inc.,Rotten,21.0,28.0,Spilled,42.0,7326.0,10,6,22
56,m/10006370-stay_alive,Stay Alive,"Teenagers decide to pass idle time by playing an online game that has a horror theme. But the action taking place on their computer screens becomes a terrifying reality when they realize that each time a character dies during the game, the figure's human overseer dies as well.","A by-the-numbers teen horror flick, Stay Alive fails to exploit its premise for any real scares.",PG-13,"Horror, Mystery & Suspense",William Brent Bell,"William Brent Bell, Matthew Peterman","Jon Foster, Frankie Muniz, Samaire Armstrong, Sophia Bush, Jimmi Simpson, Adam Goldberg, Milo Ventimiglia, Wendell Pierce, Billy Slaughter, Nicole Oppermann, Nicole Opperman, April Wood, Monica Monica, Rio Hackford, Billy Louviere, J. Richey Nash, Maria Kalinina, Lauren Lorbeck, Veronica Mosgrove, Rick Green, Jim Bishop, James Haven, Amber Nicolai",2006-03-24,2016-08-09,85.0,Buena Vista,Rotten,10.0,59.0,Spilled,55.0,113424.0,18,6,53
57,m/1000640-all_of_me,All of Me,"While on her deathbed, the rich Edwina Cutwater (Lily Tomlin) has her lawyer Roger Cobb (Steve Martin) add the odd stipulation to her will that her soul will be inherited by the young Terry Hoskins (Victoria Tennant). The plan backfires when Edwina dies. She ends up inhabiting Roger's body and controlling only its right side. Edwina and Roger are forced to work together to find a way to get her soul out his body and into the body she originally intended.","A high-concept farce carried by Carl Reiner's deft direction and the precise timing of its leads, All of Me is a body-swap comedy worth holding onto.",PG,"Comedy, Science Fiction & Fantasy",Carl Reiner,"Henry Olek, Carl Reiner, Phil Alden Robinson","Steve Martin, Lily Tomlin, Victoria Tennant, Madolyn Smith Osborne, Richard Libertini, Dana Elcar, Jason Bernard, Selma Diamond, Eric Christmas, Gailard Sartain, Neva Patterson, Michael Ensign, Peggy Feury, Nan Martin, Basil Hoffman, Hedley Mattingly, Harvey Vernon, Stu Black, Marilyn Tokuda, David Byrd, Nick Shields, Bill Saito, Neil Elliott, Jillian Scott, Neil Elliot, Judy Nagy, Ronn Wright, Jim Welch",1984-09-21,2016-10-30,93.0,HBO Video,Certified-Fresh,85.0,41.0,Upright,67.0,14346.0,10,35,6
58,m/1000643-all_quiet_on_the_western_front,All Quiet on the Western Front,"At the start of World War I, Paul Baumer (Richard Thomas) is a young German patriot, eager to fight. Indoctrinated with propaganda at school, he and his friends eagerly sign up for the army soon after graduation. But when the horrors of war soon become too much to bear, and as his friends die or become gravely wounded, Paul questions the sanity of fighting over a few hundreds yards of war-torn countryside. The film is based on the classic novel of the same name by Erich Maria Remarque.",,NR,Drama,Delbert Mann,Paul Monash,"Richard Thomas, Ernest Borgnine, Ian Holm, Donald Pleasence, Patricia Neal, Mark Drewry, Mark Elliott, Dai Bradley, Mathew Evans, George Winter, Dominic Dephcott, Colin Mayes, Ewan Stewart, Simon Haywood, Kevin Stoney, Ken Hutchison, Stephen Reynolds, Ian Hastings, Denys Graham, Mary Miller, Michael Sheard, Marie Noelle-Barre, Dominique Varda, Arda Brokmenn, Drahomir Fialkova, Katrina Lirova, Veronika Jeníková, Mark Roemmich, Andrew Burleigh, Tomas Juricka, Brian Purchase",,2018-04-16,156.0,Unknown,Fresh,100.0,5.0,Upright,69.0,7588.0,0,5,0
59,m/10006434-dreamland,Dreamland,"Teenage Aubrey (Agnes Bruckner) is always there for everyone, including her father, Henry (John Corbett), who has not left the house since her mother died, and her friend Calista (Kelli Garner), who has multiple sclerosis. Her longing to experience life for herself begins to awaken, however, with the arrival of new neighbors, including a young man named Mookie (Justin Long). After setting Mookie up with Calista, Aubrey begins to feel jealous, but struggles to put her own needs above others'.",,PG-13,"Art House & International, Drama",Jason Matzner,"Tom Willett, Jason Matzner","Agnes Bruckner, Kelli Garner, Justin Long, Gina Gershon, John Corbett, Brian Klugman, Chris Mulkey, Luce Rains",2006-12-19,2012-04-16,88.0,Dreamland Motion Picture Co.,Fresh,67.0,15.0,Upright,65.0,5650.0,5,10,5
60,m/10006485-black_gold,Independent Lens,"Fifteen million Ethiopians make a living related to coffee, which accounts for 67 percent of the country's foreign exports. Yet as profits soar for coffee sales, the farmers producing the beans continue to receive minimal payments, anywhere from 12 to 25 cents for every kilo picked. Businessman Tadesse Meskela tries to help raise the impoverished standard of living by negotiating, on behalf of 70,000 farmers, with coffee roasters willing to pay a fairer price for their labor.",Black Gold is an eye-opening account of the winners and losers in the global coffee trade.,NR,"Documentary, Special Interest","Mark Francis, Marc Francis, Nick Francis",,"Terrence Howard, Tadesse Meskela, Dr. Ernesto Illy",2006-10-06,2007-01-09,77.0,California Newsreel,Certified-Fresh,84.0,50.0,Upright,84.0,1854.0,22,42,8
61,m/1000654-all_the_kings_men,All the King's Men,"Drama about the rise and fall of a corrupt southern governor who promises his way to power. Broderick Crawford portrays Willie Stark, who, once he is elected, finds that his vanity and power lust prove to be his downfall. The film is based on the 1946 Pulitzer Prize-winning novel by Robert Penn Warren.",Broderick Crawford is spellbinding as politician Willie Stark in director Robert Rossen's adaptation of the Robert Penn Warren novel about the corrosive effects of power on the human soul.,PG,"Classics, Drama",Robert Rossen,"Robert Rossen, Robert Penn Warren","Broderick Crawford, Mercedes McCambridge, John Derek, Joanne Dru, John Ireland, Shepperd Strudwick, Ralph Dumke, Anne Seymour, Katherine Warren, Raymond Greenleaf, Walter Burke, Will Wright, Grandon Rhodes, H.C. Miller, Richard Hale, William Bruce, A.C. Tillman, Houseley Stevenson Sr., Truett Myers, Phil Tully, Helene Stanley, Judd Holdren, King Donovan, Paul Ford, Ted French, Louis Mason, Paul Maxey, John 'Skins' Miller, Pat O'Malley, Frank Wilcox",1949-11-08,2013-05-01,109.0,Sony Pictures Home Entertainment,Certified-Fresh,95.0,42.0,Upright,78.0,4866.0,9,40,2
62,m/10006588-street_fight,Street Fight,"Documentarian Marshall Curry chronicles the 2002 mayoral race in Newark, New Jersey. The election involves Sharpe James, who has held the seat for 16 years, and his challenger, attorney Cory Booker. Curry investigates the legality and ethics of the veteran mayor's tactics, and captures James' staff engaging in illicit behavior and threatening their competition with violence. James' vicious smear campaign is also documented. Spike Lee and Cornel West appear in the film on Booker's behalf.","Street Fight takes an immersive ground-level look at a pivotal political race that proves illuminating, entertaining, and inspiring in equal measure.",NR,"Documentary, Special Interest",Marshall Curry,Marshall Curry,"Cory Booker, Sharpe James, Pablo Fonseca, Rich McGrath, Al Sharpton, Jesse Jackson, Jim McGreevey",2005-01-01,2016-12-05,86.0,Marshall Curry Productions,Fresh,100.0,22.0,Upright,93.0,2989.0,11,22,0
63,m/10006780-lost_horizon,Lost Horizon,An airplane hijacking leaves a diplomat (Peter Finch) and other Westerners in the Tibetan utopia Shangri-La.,,G,"Action & Adventure, Drama, Musical & Performing Arts, Science Fiction & Fantasy",Charles Jarrott,Larry Kramer,"Liv Ullmann, Peter Finch, George Kennedy, Michael York, Sally Kellerman, Olivia Hussey, Charles Boyer, John Gielgud, Bobby Van, James Shigeta, Larry Duran, Kent Smith, John Van Dreelen, Miiko Taka, Tybee Brascia, Neil Jon, Hedley Mattingly, Virginia Ann Lee, Paul De Lucca, Burt Bacharach",1973-03-17,2015-12-18,143.0,RCA Video,Rotten,20.0,5.0,Spilled,45.0,455.0,2,1,4
64,m/10006848-the_motel,The Motel,"While shouldering the burden of cleaning his family's sleazy motor inn, 13-year-old Ernest (Jeffrey Chyau) dreams of being a writer. A ne'er-do-well named Sam (Sung Kang) arrives for a night but stays longer, and the fatherless boy sees in him a male figure to emulate.","A coming-of-age dramedy whose familiar outline is filled in with rewarding empathy and character detail, The Motel marks an impressive feature debut for writer-director Michael Kang.",NR,"Comedy, Drama",Michael Kang,Michael Kang,"Jeffrey Chyau, Sung Kang, Jade Wu, Samantha Futerman, Alexis Chang, Stephen Chen, Conor J. White, Clint Jordan, Jackson Budinger, Eleanor Hutchins, Ron Domingo, Jackie Nova, Jake Holbrook, Ian Boyd, Glen Brackenridge, Cheryl Campbell, Douglas Bell, Alia Raza, Melanie Sands, Olivia Kim, Albert Bramante, Fausat Lawal, Grace Lamb, David Keller, Zeke Hawkins, Heather White, Matthew Mooney, Matthew Schimkowitz",2005-06-28,2017-03-17,76.0,Palm Pictures,Fresh,88.0,32.0,Upright,64.0,4038.0,14,28,4
65,m/10006849-once_in_a_lifetime,Once in a Lifetime: The Extraordinary Story of the New York Cosmos,"This documentary looks back on a time when soccer briefly captured America's attention. The film profiles the North American Soccer League franchise the New York Cosmos and the sensation it created back in the 1970s. Using archival footage, old photos and anecdotes from former players and businessmen, it tells the story -- or several conflicting stories -- of a team starring Brazilian soccer legend Pele, formed by non-sports people and ultimately submarined by the league's excessive expansion.","You don't have to be a soccer fan to enjoy this stylish, breezy slice of 1970s sports history.",PG-13,"Documentary, Sports & Fitness","Paul Crowder, John Dower","Mark Monroe, John Dower","Johann Cruyff, Franz Beckenbauer, Werner Roth, Ahmet Ertegun, Phil Woodnam, Giorgio Chinaglia, Raphael de la Serra, Shep Messing, Mark Ross, David Hirshey, Johan Cruyff, Carlos Alberto, Pepe Pinton, Matt Dillon, Clive Toye, Jay Emmett, New York Cosmos, Nesuhi Ertegun, Steve Hunt, Pelé",2006-05-18,2016-11-23,97.0,Miramax,Certified-Fresh,81.0,59.0,Upright,80.0,1416.0,22,48,11
66,m/10006856-requiem,Requiem,"Michaela, an epileptic, enrolls in college to study education. She goes off her medication and soon begins hearing voices and seeing apparitions that tell her to avoid religious objects, although she is devoutly Roman Catholic. One priest scoffs at the idea that Michaela could be possessed by demons, but a younger pastor arranges an exorcism for the young woman.","This harrowing, naturalistic drama holds you in its grip through Huller's intense performance.",NR,"Art House & International, Drama, Horror, Mystery & Suspense",Hans-Christian Schmid,Bernd Lange,"Sandra Hueller, Sandra Hüller, Imogen Kogge, Imogen Kog, Burghart Klaussner, Anna Blomeier, Karl Klinger, Nicholas Reinke, Jens Harzer, Walter Schmidinger, Friederike Adolph, Irene Kugler, Johann Adam Oest, Eva Loebau, Eva Löbau",2006-10-20,2017-03-23,92.0,IFC First Take,Fresh,86.0,36.0,Upright,66.0,4728.0,17,31,5
67,m/10006940-silk,Gui si (Silk),"Aiming to harness the energy found in some supernatural spirits, scientist Hashimoto (Yosuke Eguchi) and colleagues catch the ghost of a young boy. Hashimoto plans to use the energy to fuel an anti-gravity device he's invented. But, in order to tap into the ghost's essence, he must understand the silent words coming from its mouth. The scientists call in police officer Tung (Chen Chang), who can read lips, but, as they learn that the boy was murdered, the experiment goes in a scary direction.",,PG-13,"Art House & International, Horror, Mystery & Suspense",Chao-Bin Su,,"Chen Chang, Yosuke Eguchi, Kar Yan Lam, Barbie Hsu, Chen Po-Lin, Chun-Ning Chang, Fang Wen, Chen Kuan-po",2006-05-24,2015-02-12,117.0,,Rotten,40.0,5.0,Spilled,57.0,2531.0,2,2,3
68,m/10007139-park,Park,"A dozen people and their myriad problems descend upon a quiet Los Angeles park at lunch hour. April (Dagney Kerr) comes to commit suicide but can't quite get it right. Peggy (Ricki Lake) and her best friend, Claire (Cheri Oteri), seek to humiliate Dennis (William Baldwin), Peggy's philandering husband, while co-workers Nathan (Trent Ford) and Babar (Maulik Pancholy) are determined to convince their female colleagues that they do indeed enjoy eating lunch in the nude.",,R,"Art House & International, Comedy, Drama",Kurt Voelker,Kurt Voelker,"William Baldwin, Ricki Lake, Dave Fenner, Cheri Oteri, Melanie Lynskey, Izabella Miko, Anne Dudek, Trent Ford, Maulik Pancholy, David Fenner, Dagney Kerr, Anthony 'Treach' Criss, Francesco Quinn, Alfred Woodley, Joel J. Edwards, Imelda Corcoran",2006-06-12,2017-11-05,86.0,Mello Pictures,Rotten,36.0,11.0,Spilled,48.0,684.0,6,4,7
69,m/10007142-the_4th_dimension,The 4th Dimension,"When Jack finds Einstein's journal on unified field theory, he becomes obsessed with analyzing time and its connections to supernatural experiences.",,NR,"Drama, Science Fiction & Fantasy","Tom Mattera, Dave Mazzoni","Tom Mattera, Dave Mazzoni","Louis Morabito, Miles Williams, Karen Peakes, Kate LaRoss, Suzanne Inman, Louis Lippa",2006-04-01,2017-10-09,82.0,,Fresh,63.0,8.0,Spilled,31.0,394.0,2,5,3
70,m/10007333-bon_cop_bad_cop,"Bon Cop, Bad Cop","Two policemen (Colm Feore, Patrick Huard) from different Canadian provinces must work together to solve a crime.",,R,"Action & Adventure, Comedy",Eric Canuel,"Leila Basen, Alex Epstein, Patrick Huard, Kevin Tierney","Patrick Huard, Colm Feore, Lucie Laurier, Sarah-Jeanne Labrosse, Sarain Boylan, Michel Beaudry, Patrice Bélanger, Patrice Bélanger, Sylvain Marcel, Hugolin Chevrette, Hugolin Chevrette-Landesque, Pierre Lebeau, Nanette Workman, Ron Fournier, Louis-José Houde, Ron Lea, Rick Mercer, Rick Howland, André Robitaille, Gilles Renaud, Jayne Heitmeyer, Robert Jadah, Erik Knudsen, Robert Montcalm, Sharlene Royer, Martin Thibaudeau, Tim Wheaton",2006-07-04,2017-05-12,116.0,Vivafilm,Fresh,78.0,9.0,Upright,82.0,20404.0,2,7,2
